roman,khmer
reak reay,រីករាយ
rik reay,រីករាយ
reakreay,រីករាយ
saok sday,សោកស្ដាយ
sok sdai,សោកស្ដាយ
saok sdai,សោកស្ដាយ
kherng,ខឹង
kheng,ខឹង
khg,ខឹង
rompherb,រំភើប
rum pherb,រំភើប
pherb,រំភើប
ors komlang,អស់កំលាំង
os kom lang,អស់កំលាំង
os k'lang,អស់កំលាំង
thun,ធុញ
thoun,ធុញ
thunh,ធុញ
ien,អៀន
ean,អៀន
phey,ភ័យ
phei,ភ័យ
motonakpheap,មោទនភាព
mortanakpheap,មោទនភាព
mot'nak pheap,មោទនភាព
chranain,ច្រណែន
jronaen,ច្រណែន
j'nen,ច្រណែន
mean tae mneak eng,មានតែម្នាក់ឯង
mean mnak eng,មានតែម្នាក់ឯង
mean mneak eng,មានតែម្នាក់ឯង
arkoun,អរគុណ
orkun,អរគុណ
rkun,អរគុណ
chhea cheak,ជឿជាក់
cher cheak,ជឿជាក់
jer jeak,ជឿជាក់
tan terng,តានតឹង
tan teng,តានតឹង
pnheak phaol,ភ្ញាក់ផ្អើល
pnheak phoel,ភ្ញាក់ផ្អើល
p'nheak p'erl,ភ្ញាក់ផ្អើល
mean kdei songkhim,មានក្ដីសង្ឃឹម
mean kdei songkherm,មានក្ដីសង្ឃឹម
mean sangkherm,មានក្ដីសង្ឃឹម
ors songkhim,អស់សង្ឃឹម
os sangkherm,អស់សង្ឃឹម
or songkherm,អស់សង្ឃឹម
kmas,ខ្មាស់
loung sneh,លុងស្នេហ៌
lung sneh,លុងស្នេហ៌
khouch chet,ខូចចិត្ត
khoch jit,ខូចចិត្ត
ba rom,បារម្ភ
ba ram,បារម្ភ
barom,បារម្ភ
sruol,ស្រួល
s'ruol,ស្រួល
sroul,ស្រួល
mean terk chet,មានទឹកចិត្ត
mean terk jit,មានទឹកចិត្ត
mean tirk jit,មានទឹកចិត្ត
khchil,ខ្ជិល
k'jel,ខ្ជិល
kjel,ខ្ជិល
san te phiep,សន្តិភាព
san ti phiep,សន្តិភាព
santi phep,សន្តិភាព
aram prae pruol,អារម្មណ៍ប្រែប្រួល
arom prae proul,អារម្មណ៍ប្រែប្រួល
arom brae broul,អារម្មណ៍ប្រែប្រួល
kmean tomnuk jet,គ្មានទំនុកចិត្ត
k'mean tomnuk jit,គ្មានទំនុកចិត្ត
kmean tomnuk jit,គ្មានទំនុកចិត្ត
chrabok chrabol,ច្របូកច្របល់
j'bok j'bal,ច្របូកច្របល់
vol,ច្របូកច្របល់
ort khvol,អត់ខ្វល់
ot khvol,អត់ខ្វល់
ot kvol,អត់ខ្វល់
ien khmas,អៀនខ្មាស
ean khmas,អៀនខ្មាស
ean kmas,អៀនខ្មាស
rompherb nas,រំភើបណាស់
rum pherb na,រំភើបណាស់
rompherb hah,រំភើបណាស់
thobaram,ថប់បារម្ភ
thorb arom,ថប់បារម្ភ
thob arom,ថប់បារម្ភ
nerk dol atit kal,នឹកដល់អតីតកាល
nik dol atit kal,នឹកដល់អតីតកាល
nerk del atit,នឹកដល់អតីតកាល
penh chet,ពេញចិត្ត
penh jet,ពេញចិត្ត
penh jit,ពេញចិត្ត
orn chet,អន់ចិត្ត
orn jit,អន់ចិត្ត
chol chet leng,ចូលចិត្តលេង
jol jet leng,ចូលចិត្តលេង
jol jit leng,ចូលចិត្តលេង
tal chrok,ទាល់ច្រក
torl chrok,ទាល់ច្រក
torl jrok,ទាល់ច្រក
thounh troan,ធុញទ្រាន់
thunh troan,ធុញទ្រាន់
thunh tron,ធុញទ្រាន់
sday,ស្ដាយ
pnheak,ភ្ញាក់
phnak,ភ្ញាក់
phnek,ភ្ញាក់
sabai,រិះរក
sabay,រិះរក
sbay,រិះរក
cheab aram,ជាប់អារម្មណ៍
jorb arom,ជាប់អារម្មណ៍
sa'at,ស្អាត
s'at,ស្អាត
sart,ស្អាត
kur aoy srolanh,គួរអោយស្រឡាញ់
ku oy slanh,គួរអោយស្រឡាញ់
kur oy sl,គួរអោយស្រឡាញ់
sangha,សង្ហា
song ha,សង្ហា
songha,សង្ហា
ah krok,អាក្រក់
akrok,អាក្រក់
akk,អាក្រក់
thoat,ធាត់
thout,ធាត់
skom,ស្គម
skorm,ស្គម
s'kom,ស្គម
khpous,ខ្ពស់
k'pous,ខ្ពស់
kpous,ខ្ពស់
khley,ខ្លី
kley,ខ្លី
klei,ខ្លី
sor,ស
phler,ភ្លឺ
plir,ភ្លឺ
kmav,ខ្មៅ
kmow,ខ្មៅ
kmau,ខ្មៅ
mean sach dom,មានសាច់ដុំ
slim,ស្លីម
sros sa'at,ស្រស់ស្អាត
sros s'at,ស្រស់ស្អាត
sros sart,ស្រស់ស្អាត
sa'at khlang,ស្អាតខ្លាំង
s'at khlang,ស្អាតខ្លាំង
sart klang,ស្អាតខ្លាំង
thom mo cheat,ធម្មជាតិ
tom mo cheat,ធម្មជាតិ
thommacheat,ធម្មជាតិ
reab rouy,រៀបរយ
reab roy,រៀបរយ
reab roi,រៀបរយ
ror nhe ror nhai,រញ៉េរញ៉ៃ
r'nhe r'nhai,រញ៉េរញ៉ៃ
nhe nhai,រញ៉េរញ៉ៃ
sak vaeng,សក់វែង
sork veng,សក់វែង
sok veng,សក់វែង
sak khley,សក់ខ្លី
sork kley,សក់ខ្លី
sok kley,សក់ខ្លី
fit,ហ្វីត
